county,cluster
Marengo,0
Marengo,0
Marengo,0
Marengo,0
Marengo,0
Marengo,0
Marengo,0
Marion,0
Marion,0
Marion,0
Marion,0
Marion,0
Marion,0
Marion,0
Marion,0
Marion,0
Marion,0
Marshall,0
Marshall,0
Marshall,0
Marshall,0
Marshall,0
Marshall,0
Marshall,0
Marshall,0
Marshall,0
Marshall,0
Mobile,0
Mobile,0
Mobile,0
Mobile,0
Mobile,0
Mobile,0
Mobile,0
Mobile,0
Mobile,0
Mobile,0
Monroe,0
Monroe,0
Monroe,0
Monroe,0
Monroe,0
Monroe,0
Monroe,0
Monroe,0
Monroe,0
Monroe,0
Montgomery,0
Montgomery,0
Montgomery,0
Montgomery,0
Montgomery,0
Montgomery,0
Montgomery,0
Montgomery,0
Montgomery,0
Montgomery,0
Morgan,0
Morgan,0
Morgan,0
Morgan,0
Morgan,0
Morgan,0
Morgan,0
Morgan,0
Morgan,0
Morgan,0
Perry,0
Perry,0
Perry,0
Perry,0
Perry,0
Perry,0
Perry,0
Perry,0
Perry,0
Perry,0
Pickens,0
Pickens,0
Pickens,0
Pickens,0
Pickens,0
Pickens,0
Pickens,0
Pickens,0
Pickens,0
Pickens,0
Pike,0
Pike,0
Pike,0
Pike,0
Pike,0
Pike,0
Pike,0
Pike,0
Pike,0
Pike,0
Randolph,0
Randolph,0
Randolph,0
Randolph,0
Randolph,0
Randolph,0
Randolph,0
Randolph,0
Randolph,0
Randolph,0
Russell,0
Russell,0
Russell,0
Russell,0
Russell,0
Russell,0
Russell,0
Russell,0
Russell,0
Russell,0
St. Clair,0
St. Clair,0
St. Clair,0
St. Clair,0
St. Clair,0
St. Clair,0
St. Clair,0
St. Clair,0
St. Clair,0
St. Clair,0
Shelby,0
Shelby,0
Shelby,0
Shelby,0
Shelby,0
Shelby,0
Shelby,0
Shelby,0
Shelby,0
Shelby,0
Sumter,0
Sumter,0
Sumter,0
Sumter,0
Sumter,0
Sumter,0
Sumter,0
Sumter,0
Sumter,0
Sumter,0
Talladega,0
Talladega,0
Talladega,0
Talladega,0
Talladega,0
Talladega,0
Talladega,0
Talladega,0
Talladega,0
Talladega,0
Tallapoosa,0
Tallapoosa,0
Tallapoosa,0
Tallapoosa,0
Tallapoosa,0
Tallapoosa,0
Tallapoosa,0
Tallapoosa,0
Tallapoosa,0
Tallapoosa,0
Tuscaloosa,0
Tuscaloosa,0
Tuscaloosa,0
Tuscaloosa,0
Tuscaloosa,0
Tuscaloosa,0
Tuscaloosa,0
Tuscaloosa,0
Tuscaloosa,0
Tuscaloosa,0
Walker,0
Walker,0
Walker,0
Walker,0
Walker,0
Walker,0
Walker,0
Walker,0
Walker,0
Walker,0
Washington,0
Washington,0
Washington,0
Washington,0
Washington,0
Washington,0
Washington,0
Washington,0
Washington,0
Washington,0
Wilcox,0
Wilcox,0
Wilcox,0
Wilcox,0
Wilcox,0
Wilcox,0
Wilcox,0
Wilcox,0
Wilcox,0
Wilcox,0
Winston,0
Winston,0
Winston,0
Winston,0
Winston,0
Winston,0
Winston,0
Winston,0
Winston,0
Winston,0
Aleutians East Borough,0
Aleutians East Borough,0
Aleutians East Borough,0
Aleutians East Borough,0
Aleutians East Borough,0
Aleutians East Borough,0
Aleutians East Borough,0
Aleutians East Borough,0
Aleutians East Borough,0
Aleutians East Borough,0
Aleutians West Census Area,0
Aleutians West Census Area,0
Aleutians West Census Area,0
Aleutians West Census Area,0
Aleutians West Census Area,0
Aleutians West Census Area,0
Aleutians West Census Area,0
Aleutians West Census Area,0
Aleutians West Census Area,0
Aleutians West Census Area,0
Anchorage Municipality,0
Anchorage Municipality,0
Anchorage Municipality,0
Anchorage Municipality,0
Anchorage Municipality,0
Anchorage Municipality,0
Anchorage Municipality,0
Anchorage Municipality,0
Anchorage Municipality,0
Anchorage Municipality,0
Bethel Census Area,0
Bethel Census Area,0
Bethel Census Area,0
Bethel Census Area,0
Bethel Census Area,0
Bethel Census Area,0
Bethel Census Area,0
Bethel Census Area,0
Bethel Census Area,0
Bethel Census Area,0
Bristol Bay Borough,0
Bristol Bay Borough,0
Bristol Bay Borough,0
Bristol Bay Borough,0
Bristol Bay Borough,0
Bristol Bay Borough,0
Bristol Bay Borough,0
Bristol Bay Borough,0
Bristol Bay Borough,0
Bristol Bay Borough,0
Denali Borough,0
Denali Borough,0
Denali Borough,0
Denali Borough,0
Denali Borough,0
Denali Borough,0
Denali Borough,0
Denali Borough,0
Denali Borough,0
Denali Borough,0
Dillingham Census Area,0
Dillingham Census Area,0
Dillingham Census Area,0
Dillingham Census Area,0
Dillingham Census Area,0
Dillingham Census Area,0
Dillingham Census Area,0
Dillingham Census Area,0
Dillingham Census Area,0
Dillingham Census Area,0
Fairbanks North Star Borough,0
Fairbanks North Star Borough,0
Fairbanks North Star Borough,0
Fairbanks North Star Borough,0
Fairbanks North Star Borough,0
Fairbanks North Star Borough,0
Fairbanks North Star Borough,0
Fairbanks North Star Borough,0
Fairbanks North Star Borough,0
Fairbanks North Star Borough,0
Haines Borough,0
Haines Borough,0
Haines Borough,0
Haines Borough,0
Haines Borough,0
Haines Borough,0
Haines Borough,0
Haines Borough,0
Haines Borough,0
Haines Borough,0
Hoonah-Angoon Census Area,0
Hoonah-Angoon Census Area,0
Hoonah-Angoon Census Area,0
Hoonah-Angoon Census Area,0
Hoonah-Angoon Census Area,0
Hoonah-Angoon Census Area,0
Hoonah-Angoon Census Area,0
Hoonah-Angoon Census Area,0
Hoonah-Angoon Census Area,0
Hoonah-Angoon Census Area,0
Juneau City and Borough,0
Juneau City and Borough,0
Juneau City and Borough,0
Juneau City and Borough,0
Juneau City and Borough,0
Juneau City and Borough,0
Juneau City and Borough,0
Juneau City and Borough,0
Juneau City and Borough,0
Juneau City and Borough,0
Kenai Peninsula Borough,0
Kenai Peninsula Borough,0
Kenai Peninsula Borough,0
Kenai Peninsula Borough,0
Kenai Peninsula Borough,0
Kenai Peninsula Borough,0
Kenai Peninsula Borough,0
Kenai Peninsula Borough,0
Kenai Peninsula Borough,0
